Population,GDP,pop_norm,gdp_norm,log_pop,log_gdp
34413603,19907111419,-0.006576597,-0.217607497,17.35396248,23.71434286
2880703,11386927679,-0.236650763,-0.223048297,14.87354492,23.15573184
39728025,1.65978E+11,0.032199132,-0.124329605,17.49756742,25.83512365
55812,661000000,-0.257262075,-0.229897636,10.92974418,20.3092644
78011,2811489409,-0.257100104,-0.228524381,11.26460512,21.75698022
27884381,1.16194E+11,-0.054215898,-0.156121056,17.14357727,25.47852403
93566,1336692593,-0.25698661,-0.229466154,11.44642235,21.01346419
43131966,5.94749E+11,0.057035379,0.14947393,17.57977495,27.11140578
2925553,10553337673,-0.236323523,-0.223580609,14.88899408,23.07970801
104341,2691620112,-0.256907992,-0.228600927,11.55541966,21.71340912
23815995,1.35169E+12,-0.083900149,0.63284198,16.98586797,27.93237973
8642699,3.81818E+11,-0.19460939,0.01350047,15.97222548,26.66820876
9649341,53074468085,-0.187264606,-0.196427561,16.08240018,24.69496182
374206,11752300000,-0.25493897,-0.222814979,12.83256173,23.1873148
1371851,31125877660,-0.247659832,-0.210443443,14.13167148,24.16130539
156256276,1.95079E+11,0.882426677,-0.10574683,18.86700801,25.99666879
285324,4725500000,-0.255587482,-0.227302137,12.56138066,22.27623921
9489616,56454734397,-0.188430011,-0.194268998,16.06570871,24.75670499
11274196,4.6215E+11,-0.175409143,0.064798771,16.23802713,26.85915466
360933,1723785357,-0.255035814,-0.229218965,12.79644762,21.2677885
10575952,8294490789,-0.180503755,-0.225023059,16.1740933,22.83885737
727876,2059809920,-0.25235848,-0.229004387,13.49788598,21.44587954
10869730,33000198263,-0.178360256,-0.209246543,16.20149242,24.21977941
3429361,16211540686,-0.232647578,-0.219967407,15.0478845,23.50898921
2120716,14420604206,-0.242195872,-0.221111059,14.56726433,23.39192387
204471769,1.80221E+12,1.234222399,0.920534281,19.13594048,28.22003723
414907,12930394938,-0.254642003,-0.222062673,12.93580968,23.28284657
7177991,50201314895,-0.20529637,-0.198262293,15.7865301,24.63930706
18110624,10419303761,-0.125528368,-0.2236662,16.71200929,23.06692605
10160030,3104394858,-0.183538455,-0.228337338,16.13397195,21.85608464
524743,1596800287,-0.253840604,-0.229300055,13.1706639,21.19126764
15521436,18049954289,-0.144419915,-0.218793437,16.55773259,23.61640899
23298368,30916218544,-0.087676922,-0.210577326,16.96389387,24.15454676
35702908,1.5529E+12,0.002830586,0.761327619,17.3907427,28.07114522
61724,4708336733,-0.257218939,-0.227313097,11.03042811,22.27260055
4493170,1695143880,-0.224885686,-0.229237255,15.31806902,21.25103346
14110975,10945989472,-0.154711092,-0.22332987,16.46246342,23.11623897
17969353,2.43919E+11,-0.126559127,-0.074558433,16.70417825,26.22010239
1371220000,1.10155E+13,9.747192212,6.80396062,21.03896669,30.03032833
47520667,2.93482E+11,0.089056751,-0.042908819,17.67667527,26.40508129
777424,965640593,-0.251996962,-0.229703099,13.56374117,20.68830227
76244544,37917704900,0.298635383,-0.206106333,18.14945642,24.35868399
4856095,8553154580,-0.222237669,-0.224857882,15.39574517,22.86956601
4847804,54775994479,-0.222298162,-0.195341004,15.39403638,24.72651788
23226143,33131114322,-0.088203899,-0.209162943,16.96078906,24.22373869
4203604,49530656285,-0.226998453,-0.19869056,15.25145281,24.62585763
11324781,87133000000,-0.175040058,-0.17467854,16.24250389,25.19070152
157980,3151910782,-0.256516625,-0.228306996,11.97022372,21.8712747
1160985,19779150116,-0.249198378,-0.217689211,13.96477934,23.7078942
10546059,1.8683E+11,-0.180721864,-0.111014291,16.17126279,25.95346463
5683483,3.02673E+11,-0.21620078,-0.037039446,15.55307481,26.43591908
913993,2445484583,-0.251000511,-0.228758104,13.72557819,21.61750913
71183,540737037,-0.257149923,-0.229974433,11.1730093,20.10844365
10281680,71164826721,-0.182650858,-0.18487546,16.14587423,24.98826453
16212020,99290381000,-0.139381193,-0.166915107,16.6012635,25.32131454
92442547,3.32698E+11,0.416821215,-0.017866166,18.3420979,26.53050113
6325124,23438000000,-0.211519161,-0.21535275,15.6600402,23.87762447
1168568,13180195435,-0.24914305,-0.221903156,13.97128963,23.30198119
1315407,23048864243,-0.248071665,-0.215601244,14.08965668,23.86088233
100835458,64589334979,0.478058589,-0.189074423,18.42900062,24.89131514
48051,2518096286,-0.257318702,-0.228711736,10.78001823,21.64676901
868627,4682546863,-0.251331516,-0.227329566,13.67466908,22.267108
5479531,2.34585E+11,-0.217688879,-0.080518737,15.51653007,26.1810854
66593366,2.43821E+12,0.228217288,1.3266656,18.01411552,28.52228442
1947686,14377324798,-0.243458355,-0.221138696,14.48215256,23.38891814
2085860,1378176868,-0.242450193,-0.229439663,14.5506918,21.04402735
3725276,14953950557,-0.230488487,-0.220770476,15.1306515,23.42824135
81686611,3.36055E+12,0.338342451,1.915652737,18.21840067,28.84312576
27849205,49181854798,-0.054472554,-0.198913297,17.14231498,24.61879059
10820883,1.96591E+11,-0.17871666,-0.10478087,16.19698844,26.00439306
56114,2499115623,-0.257259872,-0.228723856,10.93514061,21.63920276
109599,997007926,-0.256869628,-0.229683069,11.60458353,20.72026928
161853,5710000000,-0.256488366,-0.226673457,11.99444379,22.46548486
16252429,63767597194,-0.139086356,-0.189599167,16.60375293,24.87851102
11432088,8794202444,-0.174257112,-0.224703954,16.2519347,22.89735853
1737202,1047808175,-0.244994114,-0.229650629,14.36778633,20.76996637
767432,3197220339,-0.252069867,-0.228278062,13.55080516,21.88554763
10695542,8724656126,-0.179631188,-0.224748365,16.18533758,22.88941889
9112916,20979767785,-0.191178536,-0.216922523,16.02520331,23.76682437
7291300,3.09384E+11,-0.204469631,-0.032754233,15.80219241,26.45784786
9843028,1.2453E+11,-0.185851404,-0.150797813,16.10227395,25.54781041
330815,17344165907,-0.255255565,-0.219244137,12.70931459,23.57652203
1310152403,2.10359E+12,9.301623412,1.112984657,20.99340931,28.37466549
258383256,8.60854E+11,1.627577922,0.319402633,19.36995453,27.48119103
78492215,3.85874E+11,0.315035112,0.016091121,18.17851001,26.67877796
35572261,1.77499E+11,0.001877343,-0.116973092,17.38707671,25.90222843
4701957,2.915E+11,-0.223362309,-0.044174439,15.36348936,26.3983052
83234,6792417112,-0.257061995,-0.225982249,11.3294112,22.6390727
8380100,2.99813E+11,-0.196525396,-0.038865745,15.94137041,26.42642519
60730582,1.8359E+12,0.185440533,0.942044686,17.92195795,28.23855552
2891021,14187696311,-0.23657548,-0.221259789,14.87712028,23.37564097
127141000,4.38948E+12,0.669992272,2.572701773,18.66080726,29.11023089
9266575,38043450704,-0.19005739,-0.206026034,16.0419244,24.36199478
17542806,1.84388E+11,-0.129671351,-0.112573384,16.68015451,25.94031041
47878336,64007750179,0.091666419,-0.18944581,17.68417368,24.88227001
110930,171117872,-0.256859917,-0.230210464,11.61665465,18.95786319
51014947,1.38276E+12,0.11455214,0.652682619,17.74762923,27.95510553
1801800,6440067650,-0.244522786,-0.226207252,14.40429672,22.58580488
3835591,1.14567E+11,-0.229683594,-0.157159607,15.15983409,25.46442824
5956900,6678178340,-0.214205842,-0.2260552,15.60006077,22.62211108
6741164,14390442307,-0.2084836,-0.22113032,15.72374317,23.38983009
1977527,27090019663,-0.243240625,-0.213020652,14.49735763,24.02243122
6532678,49973893201,-0.210004781,-0.198407519,15.69232752,24.63476657
2059021,2289799040,-0.242646019,-0.228857521,14.53774119,21.5517299
4472230,3177000000,-0.225038471,-0.228290974,15.31339772,21.87920319
6418315,27842131480,-0.21083921,-0.21254037,15.67466618,24.04981623
37470,6268391521,-0.257395904,-0.226316881,10.53129589,22.55878562
2904910,41392396558,-0.236474141,-0.203887472,14.88191297,24.44636304
569604,57744457955,-0.253513284,-0.193445409,13.25269666,24.77929322
602085,45361678147,-0.253276292,-0.201352777,13.30815391,24.53793349
2079328,10064515432,-0.242497853,-0.22389276,14.54755532,23.03228175
24234088,11323020829,-0.080849608,-0.223089107,17.0032708,23.15010373
16745303,6373212641,-0.135490189,-0.226249944,16.63362836,22.57536952
30270962,3.01355E+11,-0.036802637,-0.037881291,17.22569946,26.431554
454915,4109424800,-0.254350091,-0.227695549,13.02786587,22.1365489
17438778,13099497220,-0.130430372,-0.221954688,16.67420691,23.29583969
445053,10715545899,-0.254422048,-0.223477027,13.00594866,23.09496141
57439,184599600,-0.257250204,-0.230201855,10.95847879,19.03369971
4046301,4828858025,-0.228146186,-0.227236135,15.21331369,22.29787584
1262605,11692287066,-0.248456926,-0.222853301,14.0486876,23.18219524
121858258,1.17056E+12,0.63144769,0.517176797,18.61836911,27.78850733
108895,316489947,-0.256874765,-0.230117632,11.59813939,19.57280204
3554108,7745231660,-0.231737384,-0.225373803,15.08361468,22.77034322
37718,6258844405,-0.257394095,-0.226322977,10.53789271,22.55726141
2998439,11749620620,-0.235791723,-0.22281669,14.91360238,23.18708679
622159,4052913386,-0.253129826,-0.227731636,13.34095097,22.12270181
34663603,1.0118E+11,-0.004752517,-0.165708561,17.36120079,25.34016505
27042002,15950969019,-0.060362166,-0.220133802,17.11290184,23.49278542
52680726,59687410897,0.126706199,-0.192204683,17.77976022,24.81238696
2314904,11650656642,-0.240779014,-0.222879886,14.65487878,23.17862838
12475,99966636,-0.257578276,-0.230255899,9.431481921,18.42034705
27015031,21410840909,-0.060558955,-0.216647249,17.11190397,23.78716322
16939923,7.65265E+11,-0.134070179,0.258361441,16.6451837,27.36348795
4595700,1.77208E+11,-0.224137594,-0.117158578,15.34063164,25.90059064
6223240,12756706583,-0.21226254,-0.222173587,15.64380123,23.26932298
20001663,7217667781,-0.11173074,-0.225710694,16.81132598,22.69979772
181137448,4.94583E+11,1.063967698,0.085510084,19.01476668,26.92698119
55780,931000000,-0.257262309,-0.22972522,10.92917066,20.65176984
5188607,3.85802E+11,-0.219811554,0.016044554,15.46197582,26.67858896
4267348,68921456437,-0.226533356,-0.186308027,15.26650311,24.95623338
199426964,2.70556E+11,1.197413881,-0.057548607,19.11095863,26.32374542
17665,280376100,-0.257540408,-0.230140694,9.77934056,19.45164247
3968487,54091700000,-0.228713942,-0.195777979,15.19389547,24.71394659
8107775,21723531182,-0.198512367,-0.216447572,15.90833404,23.8016619
6688746,36164068797,-0.208866058,-0.207226166,15.71593697,24.31133189
30470734,1.89805E+11,-0.035345036,-0.109114292,17.23227724,25.96926465
102113212,2.92774E+11,0.487381493,-0.043360708,18.44159268,26.40266716
37986412,4.77577E+11,0.019491764,0.07465023,17.45273907,26.89199096
10358076,1.99314E+11,-0.182093448,-0.103042316,16.15327706,26.01814678
3473166,1.03376E+11,-0.232327963,-0.164306441,15.06057713,25.36163383
2565710,1.6174E+11,-0.238949053,-0.127036274,14.7577458,25.80925493
19815481,1.77893E+11,-0.113089184,-0.116720934,16.80197406,25.90445062
144096870,1.36359E+12,0.793707745,0.640441302,18.78599634,27.94114525
11369071,8277614581,-0.174716904,-0.225033835,16.24640716,22.83682067
193513,788307315,-0.256257364,-0.22981634,12.17309997,20.48539857
33272,1523012088,-0.257426534,-0.229347174,10.41247148,21.14395585
199432,318265835,-0.256214178,-0.230116498,12.20322861,19.57839755
31717667,6.5427E+11,-0.026247012,0.187482473,17.2723844,27.2067858
14578459,17767704597,-0.151300178,-0.218973675,16.49505559,23.6006483
7095383,39628550869,-0.205899104,-0.205013825,15.77495485,24.40281568
93419,1377495054,-0.256987682,-0.229440098,11.44485003,21.04353251
7171914,4218723875,-0.20534071,-0.227625753,15.78568312,22.16279852
5535002,3.08004E+11,-0.217284145,-0.033635138,15.52660249,26.45337908
5423801,88457167724,-0.218095503,-0.173832956,15.50630742,25.20578429
2063531,43090173062,-0.242613113,-0.20280331,14.53992915,24.4865608
603118,1154650069,-0.253268755,-0.229582402,13.30986814,20.86706316
13797201,4048860871,-0.157000488,-0.227734223,16.4399763,22.12170141
55386367,3.17621E+11,0.146447424,-0.027494334,17.82984404,26.48412318
10715658,11997800751,-0.179484415,-0.222658207,16.18721659,23.2079892
46444832,1.19512E+12,0.081207113,0.53285685,17.65377576,27.8092671
20970000,80604080689,-0.104665443,-0.178847763,16.8586034,25.11281511
51203,923155556,-0.257295704,-0.229730229,10.8435534,20.64330831
179126,1659110889,-0.256362337,-0.229260265,12.09584475,21.22954769
109148,755400000,-0.256872919,-0.229837354,11.60046004,20.44275797
38902950,96741742022,0.02617912,-0.168542611,17.47658064,25.29531081
559143,4787367928,-0.253589611,-0.227262629,13.23416053,22.2892466
1104044,4073390988,-0.249613838,-0.227718559,13.91449036,22.12774166
9799186,5.03651E+11,-0.186171289,0.091300363,16.09780988,26.94514869
8282396,6.79832E+11,-0.197238276,0.20380611,15.92964286,27.24511212
8454028,7854602392,-0.195985994,-0.225303962,15.95015357,22.78436549
51482633,47378599025,0.117964527,-0.200064816,17.75675509,24.58143647
68714511,4.01296E+11,0.243693844,0.025938946,18.04547096,26.71796507
1196302,3092624800,-0.248940694,-0.228344855,13.99474569,21.85228602
7323158,4179185205,-0.204237185,-0.227651001,15.80655221,22.15338214
100781,435438217,-0.256933967,-0.230041675,11.52070512,19.89186348
1370328,25062893969,-0.247670944,-0.214315129,14.13056069,23.94465426
11179949,43173480832,-0.176096799,-0.202750111,16.22963246,24.48849227
78529409,8.59797E+11,0.315306492,0.318727425,18.17898375,27.479962
5565287,35799714286,-0.217063176,-0.207458835,15.53205911,24.30120575
35981,893501650,-0.257406768,-0.229749166,10.4907463,20.61065874
11099,35492334,-0.257588316,-0.230297071,9.314610293,17.38482728
38225453,27102650387,0.021235884,-0.213012586,17.45901216,24.02289736
45154029,91030959455,0.071789,-0.17218939,17.62559007,25.2344655
9262900,3.58135E+11,-0.190084204,-0.001622653,16.04152773,26.60417601
65128861,2.92859E+12,0.21753179,1.639813345,17.99187834,28.70554254
320742673,1.82193E+13,2.082572257,11.4041185,19.58614972,30.53350246
3412009,53274304222,-0.232774184,-0.19629995,15.04281183,24.69871995
31298900,81847410182,-0.029302471,-0.1780538,17.25909351,25.1281225
271130,759689951,-0.255691046,-0.229834615,12.51035369,20.44842095
92677076,1.93241E+11,0.418532414,-0.106920262,18.34463171,25.98720451
107710,3748000000,-0.256883411,-0.227926346,11.58719771,22.0444882
4270092,12673000000,-0.226513335,-0.22222704,15.26714593,23.26273958
26497889,42628328212,-0.064332189,-0.203098234,17.09257563,24.47578485
15879361,21243350633,-0.14180838,-0.216754205,16.58053077,23.77930977
13814629,19963120600,-0.156873327,-0.217571731,16.44123866,23.71715244
